type,key,category,group,pattern,result,ingredients,ingredient,experience,cookingtime,input,material,addition,template,base,show_notification
minecraft:crafting_shaped,@{#=minecraft:acacia_planks},misc,boat,"[""# #"",""###""]",@{count=1; id=minecraft:acacia_boat},,,,,,,,,,
minecraft:crafting_shapeless,,redstone,wooden_button,,@{count=1; id=minecraft:acacia_button},"""minecraft:acacia_planks""",,,,,,,,,
minecraft:crafting_shapeless,,misc,chest_boat,,@{count=1; id=minecraft:acacia_chest_boat},"[""minecraft:chest"",""minecraft:acacia_boat""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:acacia_planks},redstone,wooden_door,"[""##"",""##"",""##""]",@{count=3; id=minecraft:acacia_door},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; W=minecraft:acacia_planks},misc,wooden_fence,"[""W#W"",""W#W""]",@{count=3; id=minecraft:acacia_fence},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; W=minecraft:acacia_planks},redstone,wooden_fence_gate,"[""#W#"",""#W#""]",@{count=1; id=minecraft:acacia_fence_gate},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stripped_acacia_log; X=minecraft:iron_chain},misc,hanging_sign,"[""X X"",""###"",""###""]",@{count=6; id=minecraft:acacia_hanging_sign},,,,,,,,,,
minecraft:crafting_shapeless,,building,planks,,@{count=4; id=minecraft:acacia_planks},"""#minecraft:acacia_logs""",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:acacia_planks},redstone,wooden_pressure_plate,"""##""",@{count=1; id=minecraft:acacia_pressure_plate},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stripped_acacia_log},misc,shelf,"[""###"",""   "",""###""]",@{count=6; id=minecraft:acacia_shelf},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:acacia_planks; X=minecraft:stick},misc,wooden_sign,"[""###"",""###"","" X ""]",@{count=3; id=minecraft:acacia_sign},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:acacia_planks},building,wooden_slab,"""###""",@{count=6; id=minecraft:acacia_slab},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:acacia_planks},building,wooden_stairs,"[""#  "",""## "",""###""]",@{count=4; id=minecraft:acacia_stairs},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:acacia_planks},redstone,wooden_trapdoor,"[""###"",""###""]",@{count=2; id=minecraft:acacia_trapdoor},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:acacia_log},building,bark,"[""##"",""##""]",@{count=3; id=minecraft:acacia_wood},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:redstone_torch; S=minecraft:stick; X=minecraft:iron_ingot},misc,,"[""XSX"",""X#X"",""XSX""]",@{count=6; id=minecraft:activator_rail},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:amethyst_shard},building,,"[""##"",""##""]",@{count=1; id=minecraft:amethyst_block},,,,,,,,,,
minecraft:crafting_shapeless,,building,,,@{count=2; id=minecraft:andesite},"[""minecraft:diorite"",""minecraft:cobblestone""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:andesite},building,,"""###""",@{count=6; id=minecraft:andesite_slab},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=2; id=minecraft:andesite_slab},,minecraft:andesite,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:andesite},building,,"[""#  "",""## "",""###""]",@{count=4; id=minecraft:andesite_stairs},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=1; id=minecraft:andesite_stairs},,minecraft:andesite,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:andesite},misc,,"[""###"",""###""]",@{count=6; id=minecraft:andesite_wall},,,,,,,,,,
minecraft:stonecutting,,,,,@{count=1; id=minecraft:andesite_wall},,minecraft:andesite,,,,,,,,
minecraft:stonecutting,,,,,@{count=1; id=minecraft:andesite_wall},,minecraft:andesite,,,,,,,,
minecraft:crafting_special_armordye,,misc,,,,,,,,,,,,,
minecraft:crafting_shaped,@{/=minecraft:stick; _=minecraft:smooth_stone_slab},misc,,"[""///"","" / "",""/_/""]",@{count=1; id=minecraft:armor_stand},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; X=minecraft:flint; Y=minecraft:feather},equipment,,"[""X"",""#"",""Y""]",@{count=4; id=minecraft:arrow},,,,,,,,,,
minecraft:smelting,,food,,,@{id=minecraft:baked_potato},,minecraft:potato,0.35,200,,,,,,
minecraft:campfire_cooking,,food,,,@{id=minecraft:baked_potato},,minecraft:potato,0.35,600,,,,,,
minecraft:smoking,,food,,,@{id=minecraft:baked_potato},,minecraft:potato,0.35,100,,,,,,
minecraft:crafting_shapeless,,building,,,@{count=1; id=minecraft:bamboo_block},"[""minecraft:bamboo"",""minecraft:bamboo"",""minecraft:bamboo"",""minecraft:bamboo"",""minecraft:bamboo"",""minecraft:bamboo"",""minecraft:bamboo"",""minecraft:bamboo"",""minecraft:bamboo""]",,,,,,,,,
minecraft:crafting_shapeless,,redstone,wooden_button,,@{count=1; id=minecraft:bamboo_button},"""minecraft:bamboo_planks""",,,,,,,,,
minecraft:crafting_shapeless,,misc,chest_boat,,@{count=1; id=minecraft:bamboo_chest_raft},"[""minecraft:chest"",""minecraft:bamboo_raft""]",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_planks},redstone,wooden_door,"[""##"",""##"",""##""]",@{count=3; id=minecraft:bamboo_door},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; W=minecraft:bamboo_planks},misc,wooden_fence,"[""W#W"",""W#W""]",@{count=3; id=minecraft:bamboo_fence},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stick; W=minecraft:bamboo_planks},redstone,wooden_fence_gate,"[""#W#"",""#W#""]",@{count=1; id=minecraft:bamboo_fence_gate},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stripped_bamboo_block; X=minecraft:iron_chain},misc,hanging_sign,"[""X X"",""###"",""###""]",@{count=6; id=minecraft:bamboo_hanging_sign},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_slab},misc,,"[""#"",""#""]",@{count=1; id=minecraft:bamboo_mosaic},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_mosaic},building,,"""###""",@{count=6; id=minecraft:bamboo_mosaic_slab},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_mosaic},building,,"[""#  "",""## "",""###""]",@{count=4; id=minecraft:bamboo_mosaic_stairs},,,,,,,,,,
minecraft:crafting_shapeless,,building,planks,,@{count=2; id=minecraft:bamboo_planks},"""#minecraft:bamboo_blocks""",,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_planks},redstone,wooden_pressure_plate,"""##""",@{count=1; id=minecraft:bamboo_pressure_plate},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_planks},misc,boat,"[""# #"",""###""]",@{count=1; id=minecraft:bamboo_raft},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:stripped_bamboo_block},misc,shelf,"[""###"",""   "",""###""]",@{count=6; id=minecraft:bamboo_shelf},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_planks; X=minecraft:stick},misc,wooden_sign,"[""###"",""###"","" X ""]",@{count=3; id=minecraft:bamboo_sign},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_planks},building,wooden_slab,"""###""",@{count=6; id=minecraft:bamboo_slab},,,,,,,,,,
minecraft:crafting_shaped,@{#=minecraft:bamboo_planks},building,wooden_stairs,"[""#  "",""## "",""###""]",@{count=4; id=minecraft:bamboo_stairs},,,,,,,,,,
